"","text"
"96","pembatalan ppkm lebih cenderung bisnis akhir tahun yang mendatangkan banyak uang dibandingkan upaya menyelamatkan w "
"97"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"98"," alasan pembatalan ppkm nataru  lev beberapa rangkuman pembatalan  kasus covid terkendali trend perubahan level ppkm"
"99"," pembatalan ppkm nataru lev  ketua dpr ri  mengapresiasi langkah pemerintah membatalkan ppkm nataru level "
"100"," benar gk nehomicron masuk indonesia terkonfirmasi empat orng terpapartanggung jawab siapa ketika pener "
"101","  puan maharani berharap masyarakat terus mematuhi himbauan pemerintah utk tetap taat proses dalam menyambut nataru ini"
"102"," ada kemungkinan keputusan opung yg kemaren bakal tetep k rencana semulalibur nataru bakal ppkm"
"103","  dunia menganggap indonesia sukses menangani pandemi gelombang kedua dg penerapan ppkm dan juga capaian vaksinasi yg j"
"104","ppkm saat nataru ini ketentuan di jawa tengah  "
"105"," menurut puan maharani pemerintah sdh tepat menerapkan ppkm dg level berbeda disetiap wilayah dan sdh memenuhi rasa keadi"
"106"," ppkm nataru    keputusan pemerintah merubah ppkm level  menjadi berbeda level disetiap wilayah indonesia dlm menyambu"
"107"," pemberlakuan ppkm level  jelang nataru dibatalkan netizen ini jelas diskriminasi "
"108"," gua mah sebagai warga menengah kebawah cuma kedapetan ppkm di perpanjang tidak ada liburan padahal ma "
"109","  ppkm level  di undur ke bulan maret di mana umat islam sdg menjalankan tarawih dan lebaran"
"110"," loh kok bisa mpus td baca ada yang dibatalin karna ppkm level  buat yg tanggal "
"111","ppkm level  saat nataru dibatalkan ganjar pranowo minta pemerintah perketat pintu masuk "
"112","  ppkm nya diundur sampai ramadhan dan lebaran yg akan datangufttt "
"113"," ppkm level  nasional saat nataru batal pks pemerintah membingungkan "
"114","  intinya dgn btly ppkm dan tdk ada penyekatan arus mudik nataru dan jadi rujukan dan alasan di akhir februari a"
"115"," pembatalan ppkm level  di seluruh wilayah indonesia selama liburnatarutentu mengurangi beban masyarakat  puan maharani"
"116"," pemerintah resmi membatalkan ppkm nataru level   ketua dpr ri puan maharani mengapresiasi langkah pemerintah membatalkan"
"117"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"118"," dah gt akhir tahun gajadi ppkm karena katanya sudah bisa menangani  jiakh pemerintah wakanda emang"
"119","  berpendapat keputusan yg diambil pemerintah soal ppkm level  saat nataru ini akan mengurangi beban msrk"
"120"," ketua dpr ri  memberikan apresiasi atas keputusan pemerintah yg tidak akan menyamaratakan ppkm level  saa"
"121"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"122"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"123"," anies tetap berlakukan ppkm level  saat nataru di jakarta "
"124","  ppkm nataru  ketua dpr ri puan maharani mengapresiasi keputusan pemerintah yang tidak menyamaratakan pemberlakuan pp"
"125"," ohh ternyata batalnya ppkm krn itu"
"126"," penyesuain ppkm jelang natal amp  tahun baru ini tentu sangat berarti bagi warga dlm melakukan segala aktifitasnya serta ke"
"127"," adalah hal yamg menggembirakan bagi kita semua menjelang natal dan tahun baru kali ini dimana pemberlakuan ppkm secara"
"128","hahaha  ini yang katanya ppkm levelnya diturunin  "
"129","  liburan nataru harus dibatalkan terapkan ppkm level  sangat bahaya nih"
"130"," kebijakan yang diambil pemerintah ini akan mengurangi beban masyarakat dengan memberlakukan ppkm sesuai kondisi daerah pe"
"131"," pemerintah tak jadi berlakukan ppkm level  saat natal dan tahun baru netizen apa karena bukan hari besar umat islam"
"132"," ketua dpr ri  mengapresiasi keputusan pemerintah yang tidak menyamaratakan pemberlakuan ppkm selama periode"
"133"," ppkm level  di seluruh indonesia selama natal dan tahun baru batal dilaksanakan  sbg gantinya pemerintah akan menerapkan"
"134","breaking news  minci mau bagibagi informasi nih terkait pembatalan ppkm level   lantas apakah masih diberlaku "
"135","  dan dalam hal ini  berbicara bahwa keputusan pemerintah membatalkan penerapan ppkm level  di seluru"
"136"," mudik di masa lebaran dilarang di saat covid sudah mulai menurun tapi justeru ada kekhawatiran covid dg variant baru macr"
"137","  kebijakan yg diambil pemerintah ini akan mengurangi beban masyarakat sehingga dengan memberlakukan ppkm sesuai kondis"
"138","dengan adanya pembatalan ppkm level  dijakarta menjelang nataru apakah juga diikuti oleh kebijakan polri yang semu "
"139"," menkosaurus emang aturan ppkm setebal kumisnya opung jadi pemberlkuan aturan ppkm seenaknya nempel di bibir opung"
"140"," ditambahkan puan kebijakan yang diambil pemerintah ini akan mengurangi beban masyarakat dengan memberlakukan ppkm sesuai k"
"141"," ppkm nataru  ketua dpr ri puan maharani mengapresiasi keputusan pemerintah yg tidak menyamaratakan pemberlakuan ppkm sela"
"142"," kabar dpr  ketua dpr ri  mengapresiasi keputusan pemerintah yang tidak menyamaratakan pemberlakuan ppkm sela"
"143"," up date dpr ri   ketua dpr ri  mengapresiasikan keputusan pemerintah yg tdk m"
"144"," puan maharani patuhi kebijakan yang berlalu sambil terus disiplin prokes sebagai antisipasi terhadap varian omicron yang k"
"145"," ppkm nya kakak berlanganan seminggu gratis berbulan  bulan"
"146"," ketua dpr ri  memberikan apresiasi atas keputusan pemerintah yang tidak akan menyamaratakan ppkm level  saat"
"147"," pelaku usaha retail dan pariwisata menyambut pembatalan ppkm level  selama periode natal dan tahun baru mereka menyiapkan"
"148"," mungkin sekarang adalah waktu yang pas untuk kamu merencanakan mau ngapain di periode libur natal dan baru nanti   karen"
"149"," sekali lagi teman kami butuh kekuatan jempol netizen untuk mendapatkan keadilan  oknum tni ini melanggar aturan ppkm den"
"150"," mendengar berita dugaan omicron sdh masuk meski blm terkonfirmasi  sy pikir bahwa pemerintah sebaiknya ttp member"
"151","pelaku usaha retail dan pariwisata menyambut pembatalan ppkm level  selama periode natal dan tahun baru mereka me "
"152"," ppkm level  batal pks publik dibuat bingung maunya pemerintah "
"153","menko pmk muhadjir effendy memastikan cuti bersama natal pada  desember  tetap dihapus meski ppkm level  di "
"154","mana ppkm nya nggak jadi lagi gegara pemerintah lebih labil daripada cewek "
"155"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"156"," otw ppkm level  "
"157"," sdh jls itu ustadzlibur natal dan thn baru akan di jadikan lonjakan kasus covid utk penetapan ppkm level "
"158","astaga kaya kena prank lg perlu bgt pergi akhir tahun kemaren udah seneng ppkm level  dihapus jebul ming ganti jeneng "
"159","kok bisa ya ada yg pembuat kebijakan tp ga jelas begitu berubah dari yg katanya akan bikin akhir tahun jd ppkm l "
"160","instran libur nataru tanpa ppkm level  tetap aman asal "
"161","ikuti instruksi mendagri muba laksanakan ppkm level i    desember  "
"162"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"163","  amp  vcs  sbymlngjkt  masih open u sby reservasi u di  mlng amp  jkt ke bali stlh ppkm januari stay happy stay healthy"
"164"," anies resmi teken kepgub ppkm level  jakarta selama libur natal dan tahun baru  "
"165"," apakah level ppkm akan berubah lagi"
"166"," pemerintah batal terapkan ppkm level  seluruh indonesia saat nataru  virusnya ngincer hari besar islam doank payah   h"
"167"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"168","mendagri jelaskan istilah ppkm level  batal "
"169","ppkm level  batal ini skenario jateng hadapi nataru  "
"170","ppkm level  nataru dibatalkan ini dampaknya untuk pelaku usaha  "
"171","jakarta allows karaoke venues to open with level  ppkm  tempoenglish"
"172"," apakabar ppkm yg mau ganti nama jadi ppknataru"
"173"," awas aja kalo tiba tiba nanti pas lebaran ada ppkm"
"174"," halahhalah padune arep ppkm neh"
"175"," virus apa lg ini baru jg ppkm selesai ehh dah ada varian baru lage "
"176"," sekali lagi teman kami butuh kekuatan jempol netizen untuk mendapatkan keadilan  oknum tni ini melanggar aturan ppkm den"
"177"," test dulu ahhh  balik lagi ga ya ke ppkm level  kalau ada acara tabligh akbar di tahun baruan  islamophobia "
"178"," omicron masuk indonesia berbarengan dengan kebijakan ppkm level  pas natal dan tahun baru dicabut  semoga ga kenapanapa dah"
"179","pemerintah republik indonesia sangat perhatian tapi libur nataru gak ada ppkm lawak "
"180"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"181","ppkm nataru dibatalkan  orang lain  yes bisa liburan aku  alah audit jakarta jadi dateng mesti"
"182","wongwong wes podo ndek bali padahal ppkm e ga sido eh yo sido seh tapi beda jeneng terus beda pola tapi tetep ppkm eh yo opo sih embuh"
"183","   kan acara jis batal gegara pusat minta ppkm level  lanjut setelah batalin acara jist"
"184","  menteri agama ribut sama tokoh agama  menteri sosial korupsi dana bantuan sosial  menteri ppa diem aja"
"185"," selamat sore kak kami berharap hal tersebut dapat terwujud ya kak sebagai informasi saat ini krl melayani "
"186","anies menerbitkan aturan soal pelaksanaan ppkm level  di jakarta saat libur natal dan tahun baru kumparannews "
"187","gw harus ngisi banyak kegiatan diluar selama liburan di tanggal sebelum dan sesudah ppkm gak mau tau gw apalagi s "
"188","pandemi covid terkendali pemerintah revisi aturan ppkm level  saat nataru "
"189"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"190"," dankemudian warga inilah yg diklaim sbg penyebar omicron welcome ppkm berlevel level"
"191"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"192"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"193"," luhut  ppkm level  nataru batal tito      ppkm level  nataru bukan batal cuma ganti judul  pantesan dulu jkw bilang ru"
"194"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"195"," ppkm level  dibatalkan untuk nataru nanti karena capaian penanganan pandemi di indonesia menunjukkan hasil yang sangat s"
"196","otw ppkm level  "
"197"," kalau ppkm batal kenapa ssb real madrid barca dan atletico madrid batal main di jis "
"198"," wadaw bakal jadi lagi ppkm level  ni kayanya"
"199"," penerapan level ppkm slm nataru akan ttp mengikuti asesmen stuasi pandemi sesuai yg berlaku saat ini dn dgn bbrp pengetatan"
"200","sekalinya dpt lgsung  yaach selamat menunggu ppkm level  kawan "
"201","varian omicron  ppkm  "
"202"," yah siap siap aja jadi ppkm level  nya "
"203","  berpendapat keputusan yg diambil pemerintah soal ppkm level  saat nataru ini akan mengurangi beban msrkts"
"204"," harus batal sebab opung mau natalan kalau idul fitri mah gpp dipakein ppkm kerana ummat islam sudah terbiasa tolerans"
"205"," berikutnya  ketua dpr ri  memberikan apresiasi atas keputusan pemerintah yg tdk akan menyamaratakan ppkm leve"
"206"," gue setelah  bayangin polisi pacar orang tua  teman dekat semua  dunia itu  bajingan kayak kasus pemerkosaan  maka"
"207"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"208","  aneh aja ya kan agenda jis dibatalkan pemerintah dgn alasan ppkm level dajjal lalu akhirnya barca dan real mad"
"209","jujur agak deg degan ama pengumuman ppkm karena tanggal segitu pkl pindah kota dan pasti oyong oyong kesana kalo  "
"210","test dulu ahhh  balik lagi ga ya ke ppkm level  kalau ada acara tabligh akbar di tahun baruan "
"211","  sebagai informasi saat ini krl melayani berbagai wilayah dengan status ppkm yang berbedabeda "
"212","ppkm level  saat nataru dibatalkan ganjar pranowo ungkap permintaannya untuk masyarakat "
"213"," tumben who waras  udah bener lah ompung luhut meniadakan ppkm level "
"214"," ohh ternyata batalnya ppkm krn itu"
"215"," lbp membatalkan ppkm level tiga saat nataru wasekjen pa  berharap tak ada ppkm di idul fitri dan iduladha "
"216","alasannya krn varian covid omicron  loh kt lord imun kita dah kebal makanya ppkm lev  dibatalin gimana ni "
"217","langkah ppkm dan vaksinasi sangat penting untuk mencegah penularan covid  indonesiasehatindonesiahebat "
"218","pembatalan kebijakan ppkm level  dinilai masih aman karena situasi pandemi membaik "
"219"," liburan nataru harus dibatalkan terapkan ppkm level  sangat bahaya nih"
"220","  ppkm nataru  ketua dpr ri puan maharani mengapresiasi keputusan pemerintah yang tidak menyamaratakan pemberlakuan pp"
"221","luhut umumkan ppkm level  selama libur nataru resmi dibatalkan ferdinand hutahaean saya minta kaji ulang "
"222"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"223","yak abis ini berubah lagi ya pak jadi ppkm level   "
"224"," sementara ppkm dibatalkan luhut dkk selama nataru "
"225"," hanya bisa senyum matamu mereka yg bawa virus kita orang makin dihajar psbb ppkm mmk ktl"
"226"," harus batal sebab opung mau natalan kalau idul fitri mah gpp dipakein ppkm kerana ummat islam sudah terbiasa tolerans"
"227"," ga bs diganggu lagi nyiapin mercon taon baruan mumpung ppkm nya batal "
"228"," wkwkwk kan apalagi ppkm ga jadi malah makin makin dah tuh kemana mana c nya kenapa ga belajar dari y "
"229","kayak awal dulu kalem kalem taunya jebol juga kan ppkm dibatalin pula semoga ini menjadi pengingat bagi kita semua agar tidak bepergian"
"230","  kayaknya udah sama semua deh status ppkm nyaatau admin mungkin punya data lain min "
"231","ppkm di batalin   terus ad info ini  apa pd gak mau si hidup normal kek dlu  "
"232","flow nya kira kira gini ppkm di batalin ga lama pasti ada berita omicron sudah masuk indonesia angka naik lagi "
"233","bupati pasbar minta semua aparatur kawal ppkm danvaksinasi "
"234"," lha kok malah dicabut ppkm level  nya pak   apa semuanya terserah luhut hancurnya negeri ini "
"235"," ksp moeldoko mengatakan sejumlah pembatasan msh akan diterapkan meskipun pemerintah batal menerapkan ppkm level  saat lib"
"236","        "
"237","bapak presiden memberikan arahan agar kita tidak menerapkan ppkm level  tapi membuat pengaturan spesifik mengen "
"238"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"239","ppkm level  batal pengamat awasi ketat prokes pelaku perjalanan "
"240","saat ini pad yang terkumpul dari sektor wisata baru rp  miliar dari target rp  miliar publisherstory "
"241"," anies tetap berlakukan ppkm level  saat nataru di jakarta "
"242"," pemerintah pusat tibatiba membatalkan rencana penerapan ppkm level  di semua wilayah pada libur natal dan tahun baru nant"
"243"," gue setelah  bayangin polisi pacar orang tua  teman dekat semua  dunia itu  bajingan kayak kasus pemerkosaan  maka"
"244"," ppkm ppkm ppkm hmmm"
"245"," ppkm separuh aku begitu"
"246","ketua dpr puan maharani mengapresiasi keputusan pemerintah yang membatalkan pemberlakuan pembatasan kegiatan masyar "
"247","ppkm gajadi ya"
"248"," yes kaitannya sama christmas and newyear regulations juga kabarnya gosipnya mau ada kayak ppkm terbatas "
"249"," selamat sore kak kami berharap hal tersebut dapat terwujud ya kak sebagai informasi saat ini krl me "
"250","natal tahun baru ppkm plisssss "
"251","pemerintah batalkan ppkm level  untuk nataru pemda diminta tetap menyesuaikan peraturan "
"252","pusat sewa mobil driverbbm  termurah sejakarta sewamobiljakarta liburankeluarga   rentalmobiljakarta "
"253","jun tahun baruan duluan soalnya ppkm jadi takut gaboleh kemana mana nanti "
"254","mulai minta diaku ni jenis baru  libur dulu napa mau akhir tahun ppkm aja lagi libur  "
"255","nah ini pemicunya ntar bulan  keluar berita kalau varian ini melonjak naik kemudian tadaaa ppkm level  saat r "
"256"," alamat ppkm level  nih pas libur lebaran "
"257","ppkm level  seluruh ri batal mendagri tito hanya ganti judul   ngeles lebaran  "
"258"," penerapan level ppkm slm nataru akan ttp mengikuti asesmen stuasi pandemi sesuai yg berlaku saat ini dn dgn bbrp pengetatan"
"259"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"260","babinsa dan tim satgas covid desa lolo ole turun edukasi ppkm "
"261"," harus batal sebab opung mau natalan kalau idul fitri mah gpp dipakein ppkm kerana ummat islam sudah terbiasa tolerans"
"262"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"263"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"264"," ppkm nya gajadi tetep mau balik "
"265"," gue setelah  bayangin polisi pacar orang tua  teman dekat semua  dunia itu  bajingan kayak kasus pemerkosaan  maka"
"266","wkwwkwkkw cok cok onok onok ae ngongkon ppkm maneh tapi dee ne neng luar negri ngerepoti wong akeh ae "
"267","   pemerintah resmi membatalkan aturan ppkm level  selama nataru   mungkin saja aturannya diundur hi"
"268"," katanya ga jadi ppkm apa nanti bakal jd alasan cluster nataru"
"269"," halo gais selamat mlm denger kabar yang beredar ppkm level  batal yaudah pada punya planning mau liburan kemana b"
"270","peraturan ppkm level  jakarta sudah diberlakukan ini aturan terkait wfo hingga karaoke "
"271","  yg penting bacot dulu biar keliatan dungunya ye gak manusia macem lo keliatan bacot dulu m "
"272"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"273","yah jadi deh ini ppkm level  nya "
"274"," pempusnya aneh menterinya ribut varian baru ampe tim badminton batal ikut world championship gegara "
"275"," sy secara pribadi meminta kepada pemerintah untuk mengkaji ulang pembatalan penerapan ppkm level  selama libur nataru"
"276"," rencana ppkm level  di seluruh indonesia resmi dibatalkan pemerintah   letsgoooo jadi liburan akhir tahun gengs rencana"
"277","mudah menang bermain amp  mudah mendapatkan jackpot langsung saja di add contact wa    salam suk "
"278"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"279"," pemberlakuan ppkm level  jelang nataru dibatalkan netizen ini jelas diskriminasi "
"280"," ppkm level  batal yuk catat aturan terbarunya  untuk berita selengkapnya klik link disini "
"281"," harus batal sebab opung mau natalan kalau idul fitri mah gpp dipakein ppkm kerana ummat islam sudah terbiasa tolerans"
"282"," ppkm level  enek revisine barang koyo skripsi ae"
"283"," ppkm darurat mulai ono penindakan lurrr dodol dawet diciduki dodol bakso diciduki dodol kopi disiram banyu panas dodol klamb"
"284"," mendengar berita dugaan omicron sdh masuk meski blm terkonfirmasi  sy pikir bahwa pemerintah sebaiknya ttp member"
"285","mudah menang bermain amp  mudah mendapatkan jackpot langsung saja di add contact wa    salam suk "
"286"," halo gais selamat mlm denger kabar yang beredar ppkm level  batal yaudah pada punya planning mau liburan kemana b"
"287","ppkm level  batal yuk catat aturan terbarunya  untuk berita selengkapnya klik link disini "
"288","ppkm level  tak diterapkan merata peneliti sangatmenyayangkan "
"289","ppkm level  nataru batal pekalongan tetap berlakukanpengetatan "
"290"," ohh ternyata batalnya ppkm krn itu"
